,Kirkovo,61,,43.1833333,26.8166667
bg,kljutsdewo,Kljutsdewo,43,,41.7666667,25.3833333
bg,klokotnica,Klokotnica,43,,41.9833333,25.5
bg,klokotnitsa,Klokotnitsa,43,,41.9833333,25.5
bg,klokotnitza,Klokotnitza,43,,41.9833333,25.5
bg,klokotniza,Klokotniza,43,,41.9833333,25.5
bg,klolibi drgancheva gradina,Klolibi Drgancheva Gradina,46,,42.7833333,25.4166667
bg,kloster batschkowo,Kloster Batschkowo,51,,41.9333333,24.85
bg,klushka reka,Klushka Reka,46,,42.8166667,25.6166667
bg,klych,Klych,58,,41.3666667,23.0166667
bg,klyuchevo,Klyuchevo,43,,41.7666667,25.3833333
bg,klyuchovo makhala,Klyuchovo Makhala,33,,43.75,23.2
bg,kmetcheta,Kmetcheta,46,,42.9333333,25.4
bg,kmetchetata,Kmetchetata,46,,42.9333333,25.4
bg,kmetovtsi,Kmetovtsi,46,,42.9,25.3833333
bg,kmetowzi,Kmetowzi,46,,42.9,25.3833333
bg,kneajevo poleana,Kneajevo Poleana,52,,43.7666667,26.3
bg,kneazjavo,Kneazjavo,39,,42.1,26.5
bg,kneja,Kneja,64,,43.5,24.0833333
bg,knesha,Knesha,64,,43.5,24.0833333
bg,kneshki luk,Kneshki Luk,46,,42.8833333,24.7166667
bg,knesowo,Knesowo,43,,41.4833333,25.4166667
bg,kneza,Kneza,64,9201,43.5,24.0833333
bg,knezha,Knezha,46,,42.85,24.6666667
bg,knezha,Knezha,64,,43.5,24.0833333
bg,knez hesenski,Knez Hesenski,52,,44.1,27.1666667
bg,knezhni lug,Knezhni Lug,46,,42.8833333,24.7166667
bg,knezhni luk,Knezhni Luk,46,,42.8833333,24.7166667
bg,knezovo,Knezovo,43,,41.4833333,25.4166667
bg,kniajevo,Kniajévo,42,,42.6666667,23.25
bg,kniaz-borissovo,Kniaz-Borissovo,43,,41.8,25.7833333
bg,knishownik,Knishownik,43,,41.8166667,25.6
bg,knizha,Knizha,64,,43.5,24.0833333
bg,knizhovnik,Knizhovnik,43,,41.8166667,25.6
bg,knjaginja ewdokija,Knjaginja Ewdokija,43,,42.6833333,25.8333333
bg,knjaginja nadeshda,Knjaginja Nadeshda,43,,42.0166667,25.7166667
bg,knjas-aleksandrowo,Knjas-Aleksandrowo,43,,41.9833333,25.7333333
bg,knjas alexandrowo,Knjas Alexandrowo,63,,43.7416667,22.7269444
bg,knjas borissowo,Knjas Borissowo,43,,41.8,25.7833333
bg,knjasewo,Knjasewo,61,,43.3,27.3666667
bg,knjashewa machala,Knjashewa Machala,33,,43.7,23.05
bg,knjashewa-poljana,Knjashewa-Poljana,52,,43.7666667,26.3
bg,knjashewo,Knjashewo,39,,42.1,26.5
bg,knjashewo,Knjashewo,42,,42.6666667,23.25
bg,knjazeva-poljana,Knjazeva-Poljana,52,,43.7666667,26.3
bg,knjazevo,Knjazevo,42,,42.6666667,23.25
bg,knjazewo,Knjazewo,52,,43.9,27.4833333
bg,knjaz kiril,Knjaz Kiril,61,,43.75,27.8166667
bg,knjaz simeon,Knjaz Simeon,61,,43.5166667,27.7666667
bg,knjeza,Knjeza,64,,43.5,24.0833333
bg,knyaginya evdokiya,Knyaginya Evdokiya,43,,42.6833333,25.8333333
bg,knyaginya nadezhda,Knyaginya Nadezhda,43,,42.0166667,25.7166667
bg,knyaz aleksandrovo,Knyaz Aleksandrovo,39,,42.7,27.6
bg,knyaz aleksandrovo,Knyaz Aleksandrovo,43,,41.9833333,25.7333333
bg,knyaz aleksandrovo,Knyaz Aleksandrovo,63,,43.7416667,22.7269444
bg,knyaz borisovo,Knyaz Borisovo,43,,41.8,25.7833333
bg,knyazevo,Knyazevo,61,,43.3,27.3666667
bg,knyazha,Knyazha,64,,43.5,24.0833333
bg,knyazheva makhala,Knyazheva Makhala,33,,43.7,23.05
bg,knyazheva polyana,Knyazheva Polyana,52,,43.7666667,26.3
bg,knyazhevo,Knyazhevo,39,,42.1,26.5
bg,knyazhevo,Knyazhevo,42,,42.6666667,23.25
bg,knyazhevo,Knyazhevo,52,,43.9,27.4833333
bg,knyazhevo,Knyazhevo,61,,43.3,27.3666667
bg,knyazhevsko,Knyazhevsko,43,,42.2166667,25.7833333
bg,knyaz khesenski,Knyaz Khesenski,52,,44.1,27.1666667
bg,knyaz kiril,Knyaz Kiril,61,,43.75,27.8166667
bg,knyaz simeonovo,Knyaz Simeonovo,46,,43.35,25.5
bg,knyaz simeonovo,Knyaz Simeonovo,61,,43.5166667,27.7666667
bg,knzhovnik,Knzhovnik,43,,41.8166667,25.6
bg,kobadin,Kobadin,52,,43.3666667,26.6
bg,kobadun,Kobadun,52,,43.3666667,26.6
bg,kobile-dol,Kobile-Dol,58,,42.55,22.5319444
bg,kobile gorno,Kobile Gorno,58,,42.5666667,22.5166667
bg,kobilino,Kobilino,43,,41.5,26.0
bg,kobiljak,Kobiljak,33,,43.5333333,23.45
bg,kobil,Kobil,43,,41.5166667,25.6666667
bg,kobilyak,Kobilyak,33,,43.5333333,23.45
bg,kobilyan dol,Kobilyan Dol,51,,41.3833333,24.9666667
bg,kobilyane,Kobilyane,43,,41.6,25.2833333
bg,kocarinovo,Kocarinovo,45,,42.0833333,23.0666667
bg,kocerinovo,Kocerinovo,45,2431,42.0833333,23.0666667
bg,kochachevo,Kochachevo,51,,42.1,24.9166667
bg,kochagovo,Kochagovo,51,,42.1333333,24.2833333
bg,kochak,Kochak,61,,43.4166667,27.7333333
bg,kochani,Kochani,51,,41.3833333,25.1166667
bg,kochan,Kochan,58,,41.5833333,24.0333333
bg,kocharevo,Kocharévo,58,,42.6747222,22.7744444
bg,kochashlii,Kochashlii,43,,41.8333333,25.4666667
bg,kochashlii,Kochashlii,52,,43.3666667,26.4666667
bg,kocheklari,Kocheklari,39,,42.9666667,26.25
bg,k'ochekler,K'ochekler,52,,43.1833333,26.45
bg,kocherinobo,Kocherinobo,45,,42.0833333,23.0666667
bg,kocherinovo,Kocherinovo,45,,42.0833333,23.0666667
bg,kocheripovo,Kocheripovo,45,,42.0833333,23.0666667
bg,kochevo,Kochevo,51,,42.1,24.9166667
bg,k'ochevtsi,K'ochevtsi,43,,41.6833333,25.15
bg,kochina,Kochina,52,,44.0,27.1666667
bg,kochmalare,Kochmalare,51,,42.45,24.9
bg,kochmar,Kochmar,61,,43.6833333,27.4666667
bg,kochovo,Kochovo,51,,42.1,24.9166667
bg,kochovo,Kochovo,61,,43.2333333,26.8
bg,kochular,Kochular,52,,43.9833333,27.4333333
bg,kocnmar,Kocnmar,61,,43.6833333,27.4666667
bg,kodolovo,Kodolovo,39,,42.1,27.6833333
bg,kodsha-babelar,Kodsha-Babelar,43,,41.5833333,25.1166667
bg,kodza buk,Kodza Buk,39,,42.2,27.1833333
bg,kodzha akhmedler,Kodzha Akhmedler,43,,41.3666667,25.5
bg,kodzha aliler,Kodzha Aliler,43,,41.5833333,25.1166667
bg,kodzha apli,Kodzha Apli,43,,41.9333333,26.3166667
bg,kodzha-buk,Kodzha-Buk,39,,42.2,27.1833333
bg,kodzha dugan,Kodzha Dugan,52,,43.3333333,26.5
bg,kodzha dyugan,Kodzha Dyugan,52,,43.3333333,26.5
bg,kodzha inli,Kodzha Inli,43,,41.7,25.8666667
bg,kodzha k'oy,Kodzha K'oy,51,,42.25,24.3166667
bg,kodzha kushla,Kodzha Kushla,43,,41.7,25.6666667
bg,kodzhamatlievo,Kodzhamatlievo,58,,42.6666667,23.65
bg,kodzha musalar,Kodzha Musalar,43,,41.3833333,25.55
bg,kodzha olar,Kodzha Olar,61,,43.7333333,27.4833333
bg,kodzha-yumer,Kodzha-Yumer,43,,41.4166667,25.3166667
bg,kodzhedzhiklar,Kodzhedzhiklar,61,,43.4333333,26.7666667
bg,k'oeler,K'oeler,43,,41.6833333,25.3
bg,koemdzhi gidik,Koemdzhi Gidik,39,,42.3833333,26.2
bg,koevtsi,Koevtsi,46,,42.8666667,24.8166667
bg,koewzi,Koewzi,46,,43.15,25.1166667
bg,kofaldcialar,Kofaldcialar,52,,43.8166667,26.95
bg,koilovci,Koilovci,46,,43.4833333,24.7666667
bg,koilovtsi,Koilovtsi,46,,43.4833333,24.7666667
bg,koilowzi,Koilowzi,46,,43.4833333,24.7666667
bg,koinare,Koinare,46,,43.35,24.1333333
bg,koinarska-machala,Koinarska-Machala,51,,41.5166667,24.8666667
bg,koino,Koino,58,,42.15,22.8833333
bg,koiriva,Koiriva,46,,43.5833333,24.7
bg,kojnare,Kojnare,46,3678,43.35,24.1333333
bg,kojno,Kojno,58,,42.15,22.8833333
bg,kokalich,Kokalich,51,,41.4666667,24.8
bg,kokalitsch,Kokalitsch,51,,41.4666667,24.8
bg,kokaljane,Kokaljane,42,,42.5833333,23.4166667
bg,kokalyane,Kokalyane,42,,42.5833333,23.4166667
bg,kokardzha,Kokardzha,43,,42.0666667,25.5833333
bg,kokardzha,Kokardzha,52,,43.1666667,26.2166667
bg,kokardzha,Kokardzha,61,,43.15,27.85
bg,kokardzha makhala eskimakhle,Kokardzha Makhala Eskimakhle,52,,43.65,26.75
bg,k'okche-d'olyuk,K'okche-D'olyuk,61,,43.5333333,27.5166667
bg,kokedzha,Kokedzha,54,,43.55,26.9333333
bg,kokiche,Kokiche,43,,41.7,25.5666667
bg,kokitsche,Kokitsche,43,,41.7,25.5666667
bg,k'okledzha,K'okledzha,54,,43.55,26.9333333
bg,koklen,Koklen,51,,42.0333333,24.7833333
