obudze,Mats'kobudze,59,,54.5666667,23.1166667
lt,menciskes,Menciskes,56,,53.9666667,23.6666667
lt,menciu,Menciu,40,,56.2666667,22.8833333
lt,mendeliske,Mendeliske,60,,55.65,26.45
lt,menkupiai,Menkupiai,59,,54.4333333,23.1333333
lt,menkupiu,Menkupiu,59,,54.4333333,23.1333333
lt,menkupyay,Menkupyay,59,,54.4333333,23.1333333
lt,mentsishchke,Mentsishchke,56,,53.9666667,23.6666667
lt,mentsishki,Mentsishki,56,,53.9666667,23.6666667
lt,merecz,Merecz,56,,54.1666667,24.1666667
lt,mereslenai,Mereslenai,65,,54.5333333,25.2166667
lt,mergalaukis antroji,Mergalaukis Antroji,56,,54.3833333,23.7
lt,mergalaukis ii,Mergalaukis II,56,,54.3833333,23.7
lt,mergalaukis,Mergalaukis,59,,54.3833333,23.6833333
lt,mergalaukis pirmoji,Mergalaukis Pirmoji,59,,54.3833333,23.6833333
lt,mergasilis,Mergasilis,59,,54.6,23.5833333
lt,mergazhery,Mergazhery,56,,54.2,24.5166667
lt,mergeliuciu,Mergeliuciu,40,,56.2333333,22.9333333
lt,mergeluiciai,Mergeluiciai,40,,56.2333333,22.9333333
lt,mergeluychyay,Mergeluychyay,40,,56.2333333,22.9333333
lt,mergezeris,Mergezeris,56,,54.2,24.5166667
lt,mergezerys,Mergezerys,56,,54.2,24.5166667
lt,mergielajcie,Mergielajcie,40,,56.2333333,22.9333333
lt,merkeliai,Merkeliai,63,,55.9333333,21.95
lt,merkine,Merkine,56,,54.1666667,24.1666667
lt,merkine,Merkine,65,,54.4666667,25.4666667
lt,merkines,Merkines,56,,54.1666667,24.1666667
lt,meshchkuichay,Meshchkuichay,40,,56.0708333,23.4744444
lt,meshchkuychay,Meshchkuychay,40,,56.0708333,23.4744444
lt,meshkadaukis,Meshkadaukis,60,,56.0172222,24.2055556
lt,meshkalaukis,Meshkalaukis,60,,56.0172222,24.2055556
lt,meshkasalis,Meshkasalis,56,,54.2833333,24.1333333
lt,meshkelyuny,Meshkelyuny,57,,55.0333333,23.3333333
lt,meshkeniki,Meshkeniki,62,,55.1166667,22.7
lt,meshki,Meshki,62,,55.2,22.35
lt,meshkine,Meshkine,60,,55.8833333,26.1333333
lt,meshkine,Meshkine,61,,55.5666667,23.35
