cn,yanglinpu,Yanglinpu,03,,28.759722,117.484444
cn,yanglinqiao,Yanglinqiao,11,,27.166667,113.133333
cn,yanglinqiao,Yanglinqiao,12,,29.363996,114.204159
cn,yanglinshih,Yanglinshih,12,,29.978753,111.775552
cn,yanglinshi,Yanglinshi,12,,29.978753,111.775552
cn,yanglinshi zhen,Yanglinshi Zhen,12,,29.978753,111.775552
cn,yanglinsi,Yanglinsi,11,,26.971944,110.844444
cn,yanglintou,Yanglintou,12,,30.929716,112.493891
cn,yanglinwan,Yanglinwan,03,,28.283864,117.60711
cn,yanglinwei,Yanglinwei,12,,30.133333,113.5
cn,yanglin xiang,Yanglin Xiang,03,,28.141167,117.691885
cn,yanglin xiang,Yanglin Xiang,08,,46.077596,127.131549
cn,yanglinxiang,Yanglinxiang,11,,27.952778,112.473056
cn,yanglinxin,Yanglinxin,12,,31.587343,113.54779
cn,yanglin,Yanglin,01,,30.263889,116.591667
cn,yanglin,Yanglin,02,,29.054614,118.170151
cn,yanglin,Yanglin,03,,27.073611,116.477843
cn,yanglin,Yanglin,07,,23.628611,117.210204
cn,yanglin,Yanglin,08,,46.077596,127.131549
cn,yanglin,Yanglin,11,,26.943611,113.128333
cn,yanglin,Yanglin,12,,29.49055,114.807213
cn,yanglin,Yanglin,19,,40.737778,125.297222
cn,yanglin,Yanglin,29,,25.220278,103.061111
cn,yanglin,Yanglin,31,,18.502336,109.211777
cn,yanglin,Yanglin,32,,28.644035,105.442154
cn,yanglinyuan,Yanglinyuan,12,,30.621901,112.83216
cn,yanglinzhai,Yanglinzhai,11,,28.766667,112.716667
cn,yanglin zhen,Yanglin Zhen,02,,29.056349,118.143182
cn,yanglinzhou,Yanglinzhou,12,,30.532896,112.883013
cn,yanglinzi,Yanglinzi,19,,41.284868,123.129243
cn,yangliping,Yangliping,12,,31.471775,112.071883
cn,yangliuao,Yangliuao,32,,29.634281,104.933154
cn,yangliuba,Yangliuba,26,,32.133333,109.1
cn,yangliuba,Yangliuba,32,,30.719114,107.336733
cn,yangliuchieh,Yangliuchieh,18,,26.366667,107.5
cn,yangliuchih,Yangliuchih,12,,30.366667,110.266667
cn,yangliuchingchen,Yangliuchingchen,28,,39.1375,116.999722
cn,yangliuching,Yangliuching,28,,39.1375,116.999722
cn,yangliuching,Yangliuching,29,,23.929722,105.283056
cn,yangliuchi,Yangliuchi,01,,33.6225,116.7625
cn,yangliuchi,Yangliuchi,11,,29.718865,111.142805
cn,yangliuchi,Yangliuchi,12,,29.705535,109.447949
cn,yangliuchong,Yangliuchong,30,,25.222222,113.009167
cn,yangliuchuang,Yangliuchuang,10,,39.916667,118.366667
cn,yangliucun,Yangliucun,03,,28.514768,116.59655
cn,yangliudian,Yangliudian,01,,31.95,116.383333
