,Sehovici,02,,44.4791667,17.2058333
ba,simatovici,Simatovici,02,,45.0108333,16.7461111
ba,simetici,Simetici,02,,44.3166667,18.9719444
ba,simicici,Simicici,02,,44.3322222,17.0327778
ba,simici-kozara,Simici-Kozara,02,,44.9283333,17.1769444
ba,simici,Simici,01,,43.2988889,17.4861111
ba,simici,Simici,02,,44.1275,19.1386111
ba,simici,Simici,BD,,44.8180556,18.865
ba,simic,Simic,01,,43.3388889,17.3369444
ba,simijova,Simijova,02,,42.9997222,18.2730556
ba,simijovo,Simijovo,02,,42.9997222,18.2730556
ba,simikici,Simikici,BD,,44.8180556,18.865
ba,simin han,Simin Han,01,,44.5311111,18.7480556
ba,simino polje,Simino Polje,02,,44.9483333,18.5302778
ba,simovici,Simovici,01,,43.2672222,17.6133333
ba,simsici,Simsici,02,,43.7694444,19.4161111
ba,simunovici,Simunovici,01,,43.3783333,17.3922222
ba,simunovici,Simunovici,02,,44.6197222,17.5333333
ba,simunovic,Simunovic,01,,44.4377778,17.2494444
ba,sinancevici,Sinancevici,01,,44.0269444,18.0811111
ba,sinanovici,Sinanovici,01,,43.615,18.2613889
ba,sinanovici,Sinanovici,02,,44.9425,16.5972222
ba,sincici,Sincici,02,,44.0275,19.6113889
ba,sinici,Sinici,01,,44.0802778,16.595
ba,sinici,Sinici,02,,45.0594444,17.0333333
ba,sinjevo,Sinjevo,02,,43.8855556,18.5902778
ba,sinokos,Sinokos,01,,44.1463889,17.6011111
ba,sinonovici,Sinonovici,02,,42.8686111,18.1930556
ba,sipacno,Sipacno,02,,43.1702778,18.3466667
ba,sipici,Sipici,02,,44.4444444,17.5661111
ba,sipka,Sipka,02,,44.6383333,16.9658333
ba,sipke,Sipke,01,,44.4852778,16.2025
ba,sipke,Sipke,02,,45.0652778,16.6377778
ba,sipovaca,Sipovaca,01,,43.2566667,17.3913889
ba,sipovac,Sipovac,01,,42.9697222,17.8158333
ba,sipovica,Sipovica,02,,43.31,18.5488889
ba,sipovice,Sipovice,02,,43.31,18.5488889
ba,sipovici,Sipovici,02,,43.7997222,19.3055556
ba,sipovik,Sipovik,01,,44.2266667,17.6327778
ba,sipovljani,Sipovljani,01,,44.3497222,16.4041667
ba,sipovo,Sipovo,02,10737,44.2813889,17.0838889
ba,siprage,Siprage,01,,44.7416667,16.4594444
ba,siprage,Siprage,02,,44.4655556,17.56
ba,sip,Sip,01,,43.8797222,18.3952778
ba,sip,Sip,02,,43.7344444,19.2527778
ba,sipure,Sipure,02,,44.6208333,17.4475
ba,siraja,Siraja,02,,44.9741667,18.6172222
ba,sirari,Sirari,02,,44.5227778,16.8547222
ba,sirevina,Sirevina,02,,43.0697222,18.2688889
ba,sirge,Sirge,01,,43.4247222,17.7983333
ba,sirica brig,Sirica Brig,01,,43.4605556,17.3941667
ba,sirici,Sirici,01,,43.4747222,17.4086111
ba,sirijevici,Sirijevici,02,,43.9991667,18.6377778
ba,sirokarica,Sirokarica,02,,43.6608333,18.4480556
ba,sirokari,Sirokari,02,,43.6425,18.4519444
ba,siroki brijeg,Siroki Brijeg,01,,43.3833333,17.5927778
ba,siroki dolac,Siroki Dolac,01,,43.6730556,17.5733333
ba,siroki potok,Siroki Potok,01,,45.2013889,15.8319444
ba,sironjici,Sironjici,02,,44.8708333,17.4230556
ba,sirovine,Sirovine,02,,43.9941667,18.5783333
ba,sisarice,Sisarice,01,,44.6055556,16.8408333
ba,sisa,Sisa,02,,43.7466667,19.0444444
ba,sisava,Sisava,01,,44.3116667,17.5697222
ba,si selo,Si Selo,01,,44.52,18.6902778
ba,sisici,Sisici,01,,43.6797222,18.5083333
ba,siske,Siske,01,,43.5719444,17.0275
ba,siskovici,Siskovici,02,,42.7475,18.2741667
ba,sistica,Sistica,01,,43.5486111,18.0441667
ba,sisti,Sisti,01,,45.0005556,15.8763889
ba,sitari,Sitari,01,,44.6852778,18.6577778
ba,sitisce,Sitisce,01,,43.9666667,17.97
ba,sitluci,Sitluci,01,,44.0369444,17.9891667
ba,sitnes bugarski,Sitnes Bugarski,02,,45.0833333,17.5333333
ba,sitnesi mali,Sitnesi Mali,02,,45.0833333,17.5333333
ba,sitnesi,Sitnesi,02,,45.0530556,17.5594444
ba,sitnes mali,Sitnes Mali,02,,45.0833333,17.5333333
ba,sitnes,Sitnes,02,,45.0530556,17.5594444
ba,sitnes turkski,Sitnes Turkski,02,,45.0530556,17.5594444
ba,sitnica,Sitnica,02,,44.5202778,16.9327778
ba,sitnik,Sitnik,01,,43.4894444,18.1941667
ba,situmi,Situmi,01,,43.7591667,17.7563889
ba,situmi,Situmi,02,,44.9327778,17.9758333
ba,sivci,Sivci,02,,44.9455556,16.8227778
ba,sivici,Sivici,01,,44.9519444,16.0505556
ba,sivolinac,Sivolinac,02,,45.1980556,17.0030556
ba,sivolje,Sivolje,02,,43.5344444,18.5111111
ba,sivolji,Sivolji,02,,43.5344444,18.5111111
ba,sivric mahala,Sivric Mahala,01,,43.1891667,17.6786111
ba,sivrino selo,Sivrino Selo,01,,44.155,17.825
ba,sivsa,Sivsa,01,,44.6841667,18.0019444
ba,sivsici,Sivsici,02,,43.5330556,18.9116667
ba,sizje,Sizje,01,,44.57,18.4338889
ba,sjeca,Sjeca,02,,43.5266667,18.8852778
ba,sjedace,Sjedace,02,,43.9738889,19.3736111
ba,sjekose,Sjekose,01,,43.0316667,17.7302778
ba,sjekovac,Sjekovac,02,,45.1166667,17.9786111
ba,sjeline,Sjeline,02,,44.5630556,18.9158333
ba,sjemas-do,Sjemas-Do,02,,42.6202778,18.44
ba,sjemec,Sjemec,02,,43.8108333,19.1669444
ba,sjemerovici,Sjemerovici,01,,43.7197222,18.9102778
ba,sjencine,Sjencine,01,,43.5341667,17.735
ba,sjenicak,Sjenicak,02,,44.9577778,16.2658333
ba,sjenina rijeka,Sjenina Rijeka,02,,44.7902778,18.1536111
ba,sjenina,Sjenina,02,,44.8069444,18.1638889
ba,sjenokose,Sjenokose,01,,44.7219444,16.7533333
ba,sjenokosi,Sjenokosi,02,,44.9738889,17.3691667
ba,sjenokos,Sjenokos,01,,43.1033333,17.8883333
ba,sjenokos,Sjenokos,02,,44.4705556,19.0719444
ba,sjerici,Sjerici,01,,44.4347222,16.1866667
ba,sjetina,Sjetina,02,,43.7661111,18.6611111
ba,sjetlina,Sjetlina,02,,43.7661111,18.6611111
ba,sjetline,Sjetline,02,,43.7661111,18.6611111
ba,sjeverik,Sjeverik,01,,44.0252778,18.2394444
ba,sjeverovci,Sjeverovci,02,,45.0913889,16.9594444
ba,sjeverovici,Sjeverovici,01,,43.6813889,18.5369444
ba,sjeversko,Sjeversko,02,,43.9094444,19.0966667
ba,sjrijevici,Sjrijevici,02,,43.9991667,18.6377778
ba,skahovica,Skahovica,01,,44.7369444,18.3130556
ba,skakavac,Skakavac,01,,44.6394444,16.3183333
ba,skakava donja,Skakava Donja,BD,,44.8375,18.6263889
ba,skakava gornja,Skakava Gornja,BD,,44.7855556,18.5972222
ba,skakavci,Skakavci,02,,43.0411111,18.4669444
ba,skakici,Skakici,01,,44.2358333,16.3697222
